,Unnamed: 0,Name
247,248,Victoria Hanley
248,249,Lisi Harrison
249,250,Alix E. Harrow
250,251,Brent Hartinger
251,252,Rachel Hartman
252,253,Sonya Hartnett
253,254,James Haskins
254,255,Pete Hautman
255,256,Louise Hawes
256,257,Rachel Hawkins
257,258,Lian Hearn
258,259,Robert A. Heinlein
259,260,Claire Hennessy
260,261,Nat Hentoff
261,262,Karen Hesse
262,263,Carl Hiaasen
263,264,Brenda Hiatt
264,265,Charlie Higson
265,266,S.E. Hinton
266,267,Will Hobbs
267,268,Amanda Hocking
268,269,Alice Hoffman
269,270,Nina Kiriki Hoffman
270,271,Linda Holeman
271,272,Jennifer Holm
272,273,Stevin Hoover
273,274,Cathy Hopkins
274,275,Ellen Hopkins
275,276,Anthony Horowitz
276,277,Erin Hunter
277,278,Mollie Hunter
278,279,Zora Neale Hurston
279,280,Jordan Ifueko
280,281,Wendy Isdell
281,282,Holly Jackson
282,283,Holly Jackson
283,284,Adiba Jaigirdar
284,285,A. M. Jenkins
285,286,Alaya Dawn Johnson
286,287,Angela Johnson
287,288,Catherine Johnson
288,289,George Matthew Johnson
289,290,Leah Johnson
290,291,Maureen Johnson
291,292,E. K. Johnston
292,293,Carrie Jones
293,294,Diana Wynne Jones
294,295,Graham Joyce
295,296,Stacey Kade
296,297,Julie Kagawa
297,298,Lauren Kate
298,299,Amie Kaufman
299,300,Marilyn Kaye
300,301,Brian Keaney
301,302,Harold Keith
302,303,Kody Keplinger
303,304,Marijane Meaker
304,305,Alexander Key
305,306,Mahmona Khan
306,307,Celine Kiernan
307,308,Patrice Kindl
308,309,A. S. King
309,310,David Klass
310,311,Annette Curtis Klause
311,312,TJ Klune
312,313,Elizabeth Knox
313,314,Ron Koertge
314,315,E. L. Konigsburg
315,316,Alethea Kontis
316,317,Gordon Korman
317,318,Jay Kristoff
318,319,Naomi Kritzer
319,320,Alice Kuipers
320,321,Nina LaCour
321,322,Elizabeth Laird
322,323,Janet Lambert
323,324,Derek Landy
324,325,Lori Lansens
325,326,Justine Larbalestier
326,327,Kathryn Lasky
327,328,Iain Lawrence
328,329,Michael Lawrence
329,330,Patrice Lawrence
330,331,Ursula K. Le Guin
331,332,Madeleine L'Engle
332,333,Mackenzi Lee
333,334,Tanith Lee
334,335,Peter Lerangis
335,336,Billie Letts
336,337,Gail Carson Levine
337,338,David Levithan
338,339,Robert Lipsyte
339,340,Malinda Lo
340,341,E. Lockhart
341,342,Ruth Frances Long
342,343,Maud Lovelace
343,344,Lois Lowry
344,345,Marie Lu
345,346,Barry Lyga
346,347,Frances Lynn
347,348,Sarah J. Maas
348,349,Carolyn Mackler
349,350,Tahereh Mafi
350,351,Kekla Magoon
351,352,Michelle Magorian
352,353,Adeline Yen Mah
353,354,Shelby Mahurin
354,355,Margaret Mahy
355,356,Sarra Manning
356,357,Keith Mansfield
357,358,Melina Marchetta
358,359,Jan Mark
359,360,Melissa Marr
360,361,John Marsden
361,362,Ann M. Martin
362,363,Bobbie Ann Mason
363,364,Syed M. Masood
364,365,Sue Mayfield
365,366,Norma Fox Mazer
366,367,Megan McCafferty
367,368,Anne McCaffrey
368,369,Norah McClintock
369,370,Patricia McCormick
370,371,Lurlene McDaniel
371,372,Mindy McGinnis
372,373,Anthony McGowan
373,374,Seanan McGuire
374,375,Sharon E. McKay
375,376,Robin McKinley
376,377,Anna-Marie McLemore
377,378,Lisa McMann
378,379,Karen M. McManus
379,380,Richelle Mead
380,381,Stephen Meader
381,382,Meg Medina
382,383,O. R. Melling
383,384,Milton Meltzer
384,385,Sandhya Menon
385,386,Melinda Metz
386,387,Marissa Meyer
387,388,Stephenie Meyer
388,389,Ben Mikaelsen
389,390,Gloria D. Miklowitz
390,391,Sarah Mlynowski
391,392,James Moloney
392,393,Patrick Moore
393,394,Perry Moore
394,395,Kass Morgan
395,396,Lorin Morgan-Richards
396,397,Jaclyn Moriarty
397,398,Jess Mowry
398,399,Robert Muchamore
399,400,Brandon Mull
400,401,Mike Mullin
401,402,Julie Murphy
402,403,Walter Dean Myers
403,404,Lauren Myracle
404,405,Beverley Naidoo
405,406,Donna Jo Napoli
406,407,Phyllis Reynolds Naylor
407,408,Jandy Nelson
408,409,Patrick Ness
409,410,Trung Le Nguyen
410,411,William Nicholson
411,412,Susin Nielsen
412,413,Jennifer Niven
413,414,Garth Nix
414,415,Joan Lowery Nixon
415,416,Andre Norton
416,417,Naomi Novik
417,418,Joyce Carol Oates
418,419,Tyne O'Connell
419,420,Leonard Wibberley
420,421,Scott O'Dell
421,422,Nnedi Okorafor
422,423,Daniel José Older
423,424,Lauren Oliver
424,425,Louise O'Neill
425,426,Tochi Onyebuchi
426,427,Alice Oseman
427,428,Christopher Paolini
428,429,Emily X.R. Pan
429,430,Kevin Panetta
430,431,Linda Sue Park
431,432,Francine Pascal
432,433,Sonia Patel
433,434,Katherine Paterson
434,435,James Patterson
435,436,Gary Paulsen
436,437,Jackson Pearce
437,438,Mary E. Pearson
438,439,Richard Peck
439,440,Robert Newton Peck
440,441,Mal Peet
441,442,Anna Perera
442,443,Stephanie Perkins
443,444,Julie Anne Peters
444,445,Stefan Petrucha
445,446,Stella Pevsner
446,447,K. M. Peyton
447,448,Susan Beth Pfeffer
448,449,James Clancy Phelan
449,450,Rodman Philbrick
450,451,Ben Philippe
451,452,Joan Phipson
452,453,Jodi Picoult
453,454,Meredith Ann Pierce
454,455,Tamora Pierce
455,456,Aprilynne Pike
456,457,Christopher Pike
457,458,Daniel Pinkwater
458,459,Elizabeth Marie Pope
459,460,Connie Porter
460,461,Susan Price
461,462,Francine Prose
462,463,Anne Provoost
463,464,Philip Pullman
464,465,Matthew Quick
465,466,Dawn Quigley
466,467,Bali Rai
467,468,Janette Rallison
468,469,Ellen Raskin
469,470,Wilson Rawls
470,471,Carolyn Reeder
471,472,Celia Rees
472,473,David Rees
473,474,Sarah Rees Brennan
474,475,Philip Reeve
475,476,Kathryn Reiss
476,477,Louise Rennison
477,478,Jason Reynolds
478,479,Morton Rhue
479,480,Randy Ribay
480,481,Ransom Riggs
481,482,Ann Rinaldi
482,483,Rick Riordan
483,484,Thomas Rockwell
484,485,Ginny Rorby
485,486,Malcolm Rose
486,487,Liz Rosenberg
487,488,Meg Rosoff
488,489,Veronica Rossi
489,490,Veronica Roth
490,491,Rainbow Rowell
491,492,J. K. Rowling
492,493,Lois Ruby
493,494,Anna Rutgers van der Loeff
494,495,Marie Rutkoski
495,496,Cynthia Rylant
496,497,Louis Sachar
497,498,Benjamin Alire Sáenz
498,499,Françoise Sagan
499,500,J. D. Salinger
500,501,Graham Salisbury
501,502,Liselle Sambury
502,503,Alex Sánchez
503,504,Erika Sánchez
504,505,Brandon Sanderson
505,506,Gavriel Savit
506,507,Kurtis Scaletta
507,508,Ellen Schreiber
508,509,V. E. Schwab
509,510,Elizabeth Scott
510,511,Kate Brian
511,512,Michael Scott
512,513,Lisa See
513,514,Marcus Sedgwick
514,515,Ruta Sepetys
515,516,Darren Shan
516,517,Dyan Sheldon
517,518,Sara Shepard
518,519,Zoa Sherburne
519,520,Valerie Sherrard
520,521,Gena Showalter
521,522,Mark Shulman
522,523,Neal Shusterman
523,524,Adam Silvera
524,525,Marilyn Singer
525,526,Sarah Singleton
526,527,Alan Lawrence Sitomer
527,528,William Sleator
528,529,Andrew A. Smith
529,530,Betty Smith
530,531,Dodie Smith
531,532,L. J. Smith
532,533,Roland Smith
533,534,Sonya Sones
534,535,Gary Soto
535,536,Ivan Southall
536,537,Beatrice Sparks
537,538,Nicholas Sparks
538,539,Elizabeth George Speare
539,540,Eleanor Spence
540,541,Jerry Spinelli
541,542,Nancy Springer
542,543,ND Stevenson
543,544,Caroline Stevermer
544,545,Maggie Stiefvater
545,546,R. L. Stine
546,547,Laurie Faria Stolarz
